id,name,group,created_at,updated_at,alt_names,company_count
36,Broadcast Media,"med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Broadcast Media"",""Broadcast Media Production and Distribution""}",100252
37,Museums and Institutions,"art, med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Museums and Institutions"",""Museums & Institutions"",""Museums, Historical Sites, and Zoos""}",50311
38,Fine Art,"art, med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Fine Art"",""Artists and Writers""}",73628
39,Performing Arts,"art, med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Performing Arts"",""Performing Arts Companies""}",173117
40,Recreational Facilities and Services,"rec, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Recreational Facilities and Services"",""Recreational Facilities & Services"",""Recreational Facilities""}",120323
42,Insurance,fin,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,{Insurance},342742
43,Financial Services,fin,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Financial Services""}",689046
44,Real Estate,"cons, fin, good",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Real Estate"",""Leasing Real Estate""}",1627128
45,Investment Banking,fin,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Investment Banking"",""Investment Banking/Venture""}",57958
46,Investment Management,fin,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Investment Management""}",189844
47,Accounting,"corp, fin",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,{Accounting},393899
48,Construction,cons,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,{Construction},1752127
1611,Movie and Video Distribution,null,2022-04-22T09:15:52.447353,2022-04-22T13:45:54.021498,"{""Movie and Video Distribution""}",57
51,Civil Engineering,"cons, gov",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Civil Engineering""}",170039
